Building Address,Building Name,Building Park,Submarket Name,Submarket Cluster,County Name,PropertyType,Building Class,Building Status,Year Built,Year Renovated,Number Of Stories,Last Sale Price,Last Sale Date,For Sale Status,For Sale Price,Land Area (AC),Rentable Building Area,Typical Floor Size,Number Of Elevators,Core Factor,Percent Leased,Average Weighted Rent,Services,Total New Space (SF),Total Relet Space (SF),Total Sublet Space (SF),Total Vacant Avail Relet Space (SF),Total Vacant Avail Sublet Space (SF),Max Building Contiguous Space,Max Floor Contiguous Space,Total Available Space (SF),Amenities,Zoning,Number Of Parking Spaces,Parking Ratio,Building Operating Expenses,Building Tax Expenses,Location 1,Borough,Postcode,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
303-305 W 46th St,Parking Lot,,Times Square,Midtown,Manhattan,Retail,,Existing,1910,,1,11000000,8/16/2003,N,,0.11,4060,4060,0,,100,-,,,,,,,,,,,C6-4 (G6),,,2010 Tax @ $9.64/sf; 2010 Est Ops @ $2.96/sf,2010 Tax @ $9.64/sf; 2010 Est Ops @ $2.96/sf,"(40.759996, -73.988388)",1,10036,40.759996,-73.988388,4,3,127,1089716,1010370029,Clinton                                                                    
226 W 47th St,,,Times Square,Midtown,Manhattan,Office,B,Existing,1923,,10,,,N,,0.0735,27500,3125,2,,0,-,,,,,,,,,,Property Manager on Site,C6-7.5,,,2008 Tax @ $11.37/sf,2008 Tax @ $11.37/sf,"(40.759713, -73.985854)",1,10036,40.759713,-73.985854,5,3,125,1024743,1010180044,Midtown-Midtown South                                                      
301 W 42nd St,,,Times Square,Midtown,Manhattan,Retail,,Existing,1972,1999,2,27000000,7/24/2001,N,,0.1385,12905,6000,0,,100,-,,,,,,,,,,,C6-4,,,2011 Tax @ $39.79/sf; 2011 Est Ops @ $12.40/sf,2011 Tax @ $39.79/sf; 2011 Est Ops @ $12.40/sf,"(40.757419, -73.990214)",1,10036,40.757419,-73.990214,4,3,121,1024946,1010330029,Clinton                                                                    
1501 Broadway,Paramount Bldg,,Times Square,Midtown,Manhattan,Office,B,Existing,1926,2006,31,,,N,,0.9504,638566,20598,13,,100,Negotiable,Direct - Plus Electric,,3956,4000,0,0,4000,4000,7956,"24/7 Building Access, Banking, Food Service, On Site Management, Property Manager on Site, Restaurant",C6-7.5,,,"2011 Tax @ $8.26/sf, 2010 Est Tax @ $8.35/sf; 2011 Ops @ $20.08/sf","2011 Tax @ $8.26/sf, 2010 Est Tax @ $8.35/sf; 2011 Ops @ $20.08/sf","(40.757103, -73.986193)",1,10036,40.757103,-73.986193,5,3,119,1024706,1010150029,Midtown-Midtown South                                                      
252 W 46th St,,,Times Square,Midtown,Manhattan,Retail,,Existing,1920,,4,,,N,,0.0367,5319,1329,0,,100,-,,,,,,,,,,,C6-5,,,2010 Tax @ $5.57/sf; 2010 Est Ops @ $7.21/sf,2010 Tax @ $5.57/sf; 2010 Est Ops @ $7.21/sf,"(40.759261, -73.986695)",1,10036,40.759261,-73.986695,5,3,119,1024729,1010170057,Midtown-Midtown South                                                      
726 Eighth Ave,,,Times Square,Midtown,Manhattan,Retail,,Existing,1910,,4,4300000,10/15/2005,N,,0.03,4106,1026,0,,100,-,,,,,,,,,,Street parking only,C6-4,,,2010 Tax @ $17.03/sf; 2010 Est Ops @ $9.58/sf,2010 Tax @ $17.03/sf; 2010 Est Ops @ $9.58/sf,"(40.759291, -73.988287)",1,10036,40.759291,-73.988287,5,3,119,1024732,1010170101,Midtown-Midtown South                                                      
261 W 52nd St,,,Columbus Circle,Midtown,Manhattan,Retail,,Existing,1922,,3,,,N,,1.0331,7709,2569,0,,100,-,,,,,,,,,,,C6-5,,,,,"(40.763155, -73.98425)",1,10019,40.763155,-73.98425,5,3,131,1080869,1010240052,Midtown-Midtown South                                                      
125 W 43rd St,,,Times Square,Midtown,Manhattan,Retail,,Existing,1910,,5,,,N,,0.048,7041,1408,0,,100,-,,,,,,,,,,,C6-5.5,,,2008 Ops @ $12.47/sf,2008 Ops @ $12.47/sf,"(40.75586, -73.984418)",1,10036,40.75586,-73.984418,5,4,119,1022614,1009960020,Midtown-Midtown South                                                      
136 W 42nd St,,,Penn Plaza/Garment,Midtown,Manhattan,Office,B,Existing,1900,1983,5,5250000,9/22/1995,N,,0.0562,8812,2002,0,,100,-,,,,,,,,,,,"C6-7, New York",,,2008 Tax @ $8.01/sf,2008 Tax @ $8.01/sf,"(40.755338, -73.985313)",1,10036,40.755338,-73.985313,5,4,113,1022578,1009947503,Midtown-Midtown South                                                      
1552-1554 Broadway,I Miller Shoe Building/TGI Friday's,,Times Square,Midtown,Manhattan,Retail,,Existing,1939,2006,4,136550000,8/18/2007,N,,0.0735,15000,3200,0,,100,-,,,,,,,,,,"A/C, Bus Line, Corner Lot, Metro/Subway, Restaurant, Signage, Signalized Intersection, Street parking only, Tenant Controlled HVAC","C6-7T, Manhattan(K9)",,,"2010 Tax @ $57.80/sf, 2011 Est Tax @ $57.80/sf; 2011 Ops @ $11.56/sf, 2010 Est Ops @ $23.73/sf","2010 Tax @ $57.80/sf, 2011 Est Tax @ $57.80/sf; 2011 Ops @ $11.56/sf, 2010 Est Ops @ $23.73/sf","(40.758665, -73.984977)",1,10036,40.758665,-73.984977,5,4,125,1022660,1009990001,Midtown-Midtown South                                                      
